wareh,capacity,buffer,QMK,CHIM,CHI,KLQ,GO,GP,GS,BS
4.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9600.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
