wareh,capacity,buffer,QMK,CHIM,CHI,KL,KLQ,GO,GP,GS,BS,RND
4.0,900.0,0.0,17107.0,17397.0,17160.0,20492.0,17107.0,20625.0,17478.0,17843.0,17843.0,20649.0
4.0,900.0,0.0,16630.0,16855.0,16686.0,20434.0,16630.0,20216.0,17016.0,17524.0,17524.0,20610.0
4.0,900.0,0.0,16984.0,16336.0,16226.0,20333.0,16984.0,19730.0,16498.0,17732.0,17732.0,20543.0
2.0,1080.0,180.0,11192.0,11184.0,11184.0,15400.0,11192.0,11750.0,11243.0,11244.0,11215.0,14440.0
2.0,1080.0,180.0,11651.0,10794.0,10794.0,15372.0,11651.0,11295.0,10858.0,10860.0,10819.0,14380.0
2.0,1080.0,180.0,12112.0,10503.0,10503.0,15190.0,12112.0,10775.0,10553.0,10568.0,10519.0,14123.0
3.0,1080.0,180.0,13518.0,14035.0,13597.0,18366.0,13518.0,14761.0,14205.0,14191.0,13862.0,17408.0
3.0,1080.0,180.0,13164.0,13389.0,13316.0,18407.0,13164.0,14415.0,13652.0,14713.0,13285.0,17368.0
3.0,1080.0,180.0,12772.0,12773.0,12772.0,18463.0,12772.0,14088.0,12968.0,15153.0,12752.0,17285.0
4.0,1080.0,180.0,15397.0,15834.0,15834.0,20287.0,15397.0,16335.0,16164.0,16241.0,15999.0,19361.0
4.0,1080.0,180.0,15703.0,15391.0,15391.0,20334.0,15703.0,16027.0,15657.0,16047.0,15511.0,19318.0
4.0,1080.0,180.0,15526.0,14887.0,14887.0,20360.0,15526.0,16373.0,15141.0,15978.0,14948.0,19254.0
2.0,1000.0,0.0,12632.0,12648.0,12648.0,15411.0,12632.0,15496.0,12700.0,12796.0,12796.0,15462.0
2.0,1000.0,0.0,13284.0,12027.0,12009.0,15317.0,13284.0,15100.0,12075.0,12164.0,12164.0,15411.0
2.0,1000.0,0.0,13895.0,11505.0,11503.0,14979.0,13895.0,14534.0,11581.0,11659.0,11659.0,15283.0
3.0,1000.0,0.0,15190.0,15400.0,15180.0,18416.0,15190.0,18714.0,15468.0,15560.0,15560.0,18571.0
3.0,1000.0,0.0,14631.0,14939.0,14620.0,18447.0,14631.0,18365.0,15021.0,15122.0,15122.0,18541.0
3.0,1000.0,0.0,14119.0,14451.0,14107.0,18214.0,14119.0,18156.0,14366.0,14615.0,14615.0,18450.0
4.0,1000.0,0.0,16946.0,17313.0,16986.0,20354.0,16946.0,21063.0,17353.0,17771.0,17771.0,20538.0
4.0,1000.0,0.0,17226.0,16768.0,16494.0,20371.0,17226.0,20645.0,16861.0,17872.0,17872.0,20517.0
4.0,1000.0,0.0,17479.0,16226.0,16056.0,20227.0,17479.0,20359.0,16323.0,17770.0,17770.0,20429.0
2.0,1200.0,200.0,11187.0,11200.0,11190.0,15367.0,11187.0,11774.0,11268.0,11332.0,11237.0,14415.0
2.0,1200.0,200.0,10798.0,10807.0,10797.0,15297.0,10798.0,11316.0,10912.0,10937.0,10834.0,14330.0
2.0,1200.0,200.0,12091.0,10507.0,10507.0,15347.0,12091.0,10823.0,10558.0,10633.0,10513.0,14071.0
3.0,1200.0,200.0,13419.0,13985.0,13842.0,18325.0,13419.0,14591.0,14136.0,14170.0,13781.0,17331.0
3.0,1200.0,200.0,13116.0,13394.0,13139.0,18326.0,13116.0,14350.0,13517.0,13652.0,13251.0,17303.0
3.0,1200.0,200.0,12736.0,12821.0,12640.0,18396.0,12736.0,14000.0,12976.0,13139.0,12745.0,17205.0
4.0,1200.0,200.0,15163.0,16127.0,15476.0,20335.0,15163.0,16279.0,15965.0,16015.0,15833.0,19236.0
4.0,1200.0,200.0,15045.0,15389.0,15144.0,20242.0,15045.0,15973.0,15533.0,15974.0,15273.0,19223.0
4.0,1200.0,200.0,14686.0,15102.0,14675.0,20352.0,14686.0,16342.0,15194.0,15942.0,14762.0,19158.0
