dependency,skus,wareh,diff,buffer,mode,benchiter,orders,train_test,parcel_train,parcel_test,duration,cap_used,local_search,gap
ED,1000,2,0.1,0.0,CHI_1.0e-8,1,80000,0.5,50493,50768,0.2669981,1000,3,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-9,1,80000,0.5,50493,50768,0.2566309,1000,3,0.0
ED,1000,2,0.1,0.0,GP,1,80000,0.5,57831,58004,0.1102943,1000,0,0.0
ED,1000,2,0.1,0.0,GS,1,80000,0.5,50718,50910,0.0156193,1000,0,0.0
ED,1000,2,0.1,0.0,BS,1,80000,0.5,50718,50910,0.0155933,1000,0,0.0
ED,1000,2,0.1,0.0,RND,1,80000,0.5,61814,61713,0.0172459,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0,1,100000,0.5,63364,63320,0.2503769,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.1,1,100000,0.5,63384,63331,0.2524376,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.01,1,100000,0.5,63364,63320,0.2583964,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.001,1,100000,0.5,63364,63320,0.2502705,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_0.0001,1,100000,0.5,63371,63318,0.2550182,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-5,1,100000,0.5,63371,63318,0.2556723,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-6,1,100000,0.5,63371,63318,0.2492552,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-7,1,100000,0.5,63371,63318,0.2521178,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-8,1,100000,0.5,63371,63318,0.2526594,1000,0,0.0
ED,1000,2,0.1,0.0,CHIM_1.0e-9,1,100000,0.5,63371,63318,0.2516652,1000,0,0.0
ED,1000,2,0.1,0.0,CHI_1.0,1,100000,0.5,63287,63264,0.2599706,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_0.1,1,100000,0.5,63287,63264,0.2639571,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_0.01,1,100000,0.5,63287,63264,0.2577659,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_0.001,1,100000,0.5,63287,63264,0.2563936,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_0.0001,1,100000,0.5,63287,63264,0.2643119,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-5,1,100000,0.5,63287,63264,0.260691,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-6,1,100000,0.5,63287,63264,0.2654561,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-7,1,100000,0.5,63287,63264,0.2589993,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-8,1,100000,0.5,63287,63264,0.2610656,1000,5,0.0
ED,1000,2,0.1,0.0,CHI_1.0e-9,1,100000,0.5,63287,63264,0.2631153,1000,5,0.0
ED,1000,2,0.1,0.0,GP,1,100000,0.5,73691,73980,0.0773155,1000,0,0.0
ED,1000,2,0.1,0.0,GS,1,100000,0.5,63748,63691,0.0179218,1000,0,0.0
ED,1000,2,0.1,0.0,BS,1,100000,0.5,63748,63691,0.0173591,1000,0,0.0
ED,1000,2,0.1,0.0,RND,1,100000,0.5,77375,77386,0.0185513,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_1.0,1,20000,0.5,12188,12317,0.240428,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_0.1,1,20000,0.5,12187,12328,0.2407179,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_0.01,1,20000,0.5,12187,12323,0.2412127,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_0.001,1,20000,0.5,12187,12323,0.2406491,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_0.0001,1,20000,0.5,12187,12323,0.2414846,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_1.0e-5,1,20000,0.5,12186,12325,0.2414037,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_1.0e-6,1,20000,0.5,12182,12328,0.2419578,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_1.0e-7,1,20000,0.5,12182,12328,0.2418706,1000,0,0.0
ED,1000,2,0.2,0.0,CHIM_1.0e-8,1,20000,0.5,12182,12328,0.241355,1000,0,0.0
